Date,User,Message
2015-09-05 19:02:47,"freelinuxer","2nd file open was failing just because we opened it with O_CREATE."
2015-09-05 19:03:01,"freelinuxer","I checked in the files we worked on today."
2015-09-05 19:03:08,"freelinuxer","https://github.com/freelinuxer/fofs"
2015-09-05 19:03:14,"khalid","Ok"
2015-09-05 19:03:51,"freelinuxer","will start modifying those to use pointers . 
will turn fbfa.c into cmd that takes args."
2015-09-05 19:04:24,"freelinuxer","https://github.com/freelinuxer/fbfs"
2015-09-05 19:04:44,"freelinuxer","changed our repo name to fbfs"
2015-09-05 19:04:50,"khalid","Cool"
2015-09-05 19:33:50,"freelinuxer","https://github.com/freelinuxer/fbfs/blob/master/fbfs.c"
2015-09-05 19:34:13,"freelinuxer","changed fsfb.c using pointers… not sure why it didn't work last time. :- )"
2015-09-05 19:34:41,"khalid","O"
2015-09-05 19:34:48,"khalid","It should"
2015-09-05 19:35:01,"freelinuxer","now it works fine"
2015-09-05 19:35:54,"freelinuxer","[mixos@localhost fbfs]$ ./a.out
Writing to /tmp/mytest….
OPENING /tmp/mytest to read data ….
name: foo_fs
meta_type: 0
rootdir: /
fs_size: 524288
block_size: 512
[mixos@localhost fbfs]$"
2015-09-05 19:36:11,"khalid","This will help move us faster"
2015-09-05 19:36:45,"freelinuxer","will turn this into cmd."
2015-09-05 19:37:45,"khalid","Next sitting we have to work on the design for the commands and .h file"
2015-09-05 19:38:32,"freelinuxer",":- )"
2015-09-05 19:38:34,"freelinuxer","yep"
2015-09-06 15:25:47,"khalid","Hi Sungjin"
2015-09-06 15:27:24,"freelinuxer","Hello Bro"
2015-09-06 15:27:48,"khalid","I see  you are having fun with that file "
2015-09-06 15:28:05,"freelinuxer","Just git practice. :- )"
2015-09-06 15:28:11,"khalid","giid "
2015-09-06 15:28:14,"khalid","good"
2015-09-06 15:28:19,"freelinuxer","I also need to learn git"
2015-09-06 15:28:29,"khalid","me too "
2015-09-06 15:28:40,"freelinuxer","now I think I know how to branch off and merge."
2015-09-06 15:30:01,"freelinuxer","about cmds that we need to talk about them.. later on."
2015-09-06 15:30:34,"khalid","If you have time tomorrow, we can spend an hour discussing that"
2015-09-06 15:30:54,"freelinuxer","ok"
2015-09-06 15:31:24,"khalid","Today, I went to Encahnted Rock. We were there at ^;30 AM "
2015-09-06 15:31:27,"khalid","6:30"
2015-09-06 15:31:36,"khalid","It was nice. "
2015-09-06 15:32:01,"khalid","By the time when we left at 10:00. The entrance was so packed with car "
2015-09-06 15:32:03,"khalid","cars "
2015-09-06 15:32:13,"khalid","And It was getting HOT"
2015-09-06 15:32:21,"freelinuxer","good to hear.. I don't feel so good today. coughing a lot."
2015-09-06 15:32:35,"khalid","sorry to hear it"
2015-09-06 15:32:56,"freelinuxer","oh yes. early morning would be most pleasant to walk . I am sure ."
2015-09-06 15:33:20,"khalid","I hope you feel better "
2015-09-06 15:33:25,"khalid","take a rets"
2015-09-06 15:33:28,"khalid","rest"
2015-09-06 15:33:31,"freelinuxer","yesterday, I sort of cleaned up fbfs.c and created simple makefile. :- )"
2015-09-06 15:34:10,"khalid","Next, we need to create a file for functions that do mount operations"
2015-09-06 15:34:22,"khalid","One file for read/write operations"
2015-09-06 15:34:33,"freelinuxer","soon divide the file to writer and reader.. 
but .. at some point we should be able to mount this file as file system."
2015-09-06 15:34:37,"khalid","One file file for managing metadata"
2015-09-06 15:35:30,"freelinuxer","right."
2015-09-06 15:36:07,"freelinuxer","once mounted… regular  linux cmd need to work for dir/file operations ?"
2015-09-06 15:36:15,"khalid","yes, "
2015-09-06 15:36:25,"khalid","When we write the Kernel Extension "
2015-09-06 15:36:53,"freelinuxer","but… underneath it need to go through our library to do metadata/data write/read."
2015-09-06 15:36:56,"freelinuxer","ok"
2015-09-06 15:37:02,"khalid","Yes"
2015-09-06 15:37:38,"freelinuxer","another question."
2015-09-06 15:37:42,"khalid","When we write the Kernel extension, most of the library code will have to migrate to the Kernel Extension"
2015-09-06 15:38:20,"khalid","For the time being, we use library to be able to debug easily "
2015-09-06 15:38:32,"freelinuxer","when we nmap, right now we are nmaping 1024."
2015-09-06 15:38:49,"khalid","Yes, "
2015-09-06 15:39:10,"khalid","That is hard code for demo purpose only "
2015-09-06 15:39:27,"freelinuxer","but… we need to nmap block size ?"
2015-09-06 15:39:34,"khalid","Yes, "
2015-09-06 15:39:45,"freelinuxer","which is 512."
2015-09-06 15:39:54,"khalid","yes"
2015-09-06 15:40:09,"freelinuxer","but for first nmap, we don't know the block size that stored in the file."
2015-09-06 15:40:28,"freelinuxer","wait."
2015-09-06 15:40:57,"freelinuxer","so. we assume 512 ?"
2015-09-06 15:41:11,"khalid","The file system info will be written to a file like /etc/filesystems"
